company,fiscal_year,revenue,gross_profit,operating_income,net_income,operating_cash_flow,capital_expenditures,free_cash_flow
Apple,2018,265595,101839,70898,59531,77434,13313,64121
Apple,2019,260174,98392,63930,55256,69391,10495,58896
Apple,2020,274515,104956,66288,57411,80674,7309,73365
Apple,2021,365817,152836,108949,94680,104038,11085,92953
Apple,2022,394328,170782,119437,99803,122151,10708,111443
Apple,2023,383285,169148,114301,96995,110543,10959,99584
Apple,2024,391035,178000,120000,101000,118000,12000,106000
Microsoft,2018,110360,72007,35058,16571,43884,11632,32252
Microsoft,2019,125843,82933,42959,39240,52185,13925,38260
Microsoft,2020,143015,96937,52959,44281,60675,15441,45234
Microsoft,2021,168088,115856,69916,61271,76740,20622,56118
Microsoft,2022,198270,135620,83383,72738,89035,23886,65149
Microsoft,2023,211915,146052,88523,72361,87582,28107,59475
Microsoft,2024,236584,164000,109000,88000,95000,30000,65000
Alphabet,2018,136819,77270,30736,34343,47971,25139,22832
Alphabet,2019,161857,89961,34364,34343,54520,23200,31320
Alphabet,2020,182527,102698,41224,40269,65124,22281,42843
Alphabet,2021,257637,146698,78714,76033,91652,24640,67012
Alphabet,2022,282836,156633,74842,59972,91200,31300,59900
Alphabet,2023,307394,174062,84293,73795,101746,32251,69495
Alphabet,2024,325000,185000,92000,80000,110000,35000,75000
Meta,2018,55838,46318,24913,22112,24313,15128,9185
Meta,2019,70697,57928,23986,18485,36314,15102,21212
Meta,2020,85965,69752,32671,29146,38747,15157,23590
Meta,2021,117929,93537,46753,39370,57108,19090,38018
Meta,2022,116609,94588,28944,23200,50475,32600,17875
Meta,2023,134902,107000,46700,39000,71400,28000,43400
Meta,2024,150000,120000,55000,45000,80000,30000,50000
Amazon,2018,232887,93731,12421,10073,30723,13427,17296
Amazon,2019,280522,114986,14541,11588,38514,16861,21653
Amazon,2020,386064,152757,22900,21331,66064,40140,25924
Amazon,2021,469822,197478,24879,33364,46327,61053,-14726
Amazon,2022,513983,225152,12248,-2722,46752,63645,-16893
Amazon,2023,574785,270046,36852,30425,84946,52729,32217
Amazon,2024,610000,290000,50000,40000,95000,60000,35000
Nvidia,2018,9714,5822,3047,3047,3149,1375,1774
Nvidia,2019,11716,6768,3804,4141,3804,1397,2407
Nvidia,2020,10918,6768,2846,2796,4761,1113,3648
Nvidia,2021,16675,10396,4532,4332,9108,1655,7453
Nvidia,2022,26974,16642,10041,9752,9108,2780,6328
Nvidia,2023,60922,45000,32972,29760,28200,3000,25200
Nvidia,2024,90000,65000,55000,48000,40000,4000,36000
Netflix,2018,15794,6418,1605,1211,2766,3396,-630
Netflix,2019,20156,7893,2595,1867,3272,1528,1744
Netflix,2020,24996,9753,4585,2761,4660,536,4124
Netflix,2021,29698,11548,6320,5116,3935,519,3416
Netflix,2022,31616,11817,5500,4491,1474,423,1051
Netflix,2023,33723,13000,6420,5400,6000,500,5500
Netflix,2024,36000,14000,7500,6200,7000,600,6400
Adobe,2018,9030,7893,3350,2592,4411,314,4097
Adobe,2019,11080,9661,4026,2951,4714,306,4408
Adobe,2020,12868,11286,4398,4822,6006,343,5663
Adobe,2021,15785,13835,5344,4822,7432,385,7047
Adobe,2022,17606,15480,5575,4793,7565,447,7118
Adobe,2023,19409,17018,6238,5250,7897,506,7391
Adobe,2024,21463,18902,7208,5950,8640,590,8050
Salesforce,2018,10610,7950,176,110,3264,406,2858
Salesforce,2019,13282,10004,237,1266,3685,444,3241
Salesforce,2020,17098,12724,126,451,4538,610,3928
Salesforce,2021,21252,15643,606,444,5451,803,4648
Salesforce,2022,26492,19409,198,208,6179,828,5351
Salesforce,2023,31352,23144,5256,208,6243,918,5325
Salesforce,2024,34857,26109,5307,4196,9000,1000,8000
Intel,2018,70848,43316,23111,21053,29432,15163,14269
Intel,2019,71965,42574,23455,21048,33145,16487,16658
Intel,2020,77867,43461,23311,20899,35679,14281,21398
Intel,2021,79024,43318,19127,19868,29432,18985,10447
Intel,2022,63054,26815,-194,8015,15596,24025,-8429
Intel,2023,54228,22032,-1339,-1687,11295,25246,-13951
Intel,2024,56798,24135,1186,1698,14260,28900,-14640
